scenario,slice,condition,n,case_n,overall,show_yes,show_no,ready,safe_ready,major_answer,minor,adjudicated_rows
coach_A_only,policy_safety_slice,bridge_contract_compact_guard,4,4,4.0,3,0,3,3,0,1,0
coach_A_only,policy_safety_slice,bridge_contract_compact_guard_repair,4,4,4.25,4,0,4,4,0,0,0
coach_B_only,main_scaffold_eval,enhanced_prompt_only_clean,31,31,3.1613,11,5,11,11,3,0,0
coach_B_only,main_scaffold_eval,codehelp_codeaid_clean,31,31,3.1935,8,2,8,8,1,0,0
coach_B_only,main_scaffold_eval,dbox_inspired_clean,31,31,3.129,7,3,7,7,1,0,0
coach_B_only,main_scaffold_eval,dbox_inspired_guard,31,31,3.1613,8,3,8,8,1,0,0
coach_B_only,main_scaffold_eval,bridge_guided_dbox_style_guard,31,31,3.129,7,3,7,7,1,0,0
coach_B_only,main_scaffold_eval,bridge_contract_compact_guard,31,31,3.0968,5,2,5,5,0,1,0
coach_B_only,main_scaffold_eval,bridge_contract_compact_guard_repair,31,31,3.1935,7,1,7,7,0,1,0
coach_B_only,main_eval_with_caution,enhanced_prompt_only_clean,5,5,3.0,0,0,0,0,0,0,0
coach_B_only,main_eval_with_caution,codehelp_codeaid_clean,5,5,3.0,0,0,0,0,0,0,0
coach_B_only,main_eval_with_caution,dbox_inspired_clean,5,5,3.2,2,1,2,2,1,0,0
coach_B_only,main_eval_with_caution,dbox_inspired_guard,5,5,3.2,2,1,2,2,0,0,0
coach_B_only,main_eval_with_caution,bridge_guided_dbox_style_guard,5,5,3.0,1,1,1,1,0,0,0
coach_B_only,main_eval_with_caution,bridge_contract_compact_guard,5,5,3.4,2,0,2,2,0,0,0
coach_B_only,main_eval_with_caution,bridge_contract_compact_guard_repair,5,5,3.4,2,0,2,2,0,0,0
coach_B_only,clarification_safety_slice,enhanced_prompt_only_clean,10,10,3.2,3,1,3,3,1,0,0
coach_B_only,clarification_safety_slice,codehelp_codeaid_clean,10,10,2.7,0,3,0,0,0,0,0
coach_B_only,clarification_safety_slice,dbox_inspired_clean,10,10,3.5,5,0,5,5,0,0,0
coach_B_only,clarification_safety_slice,dbox_inspired_guard,10,10,3.5,5,0,5,5,0,0,0
coach_B_only,clarification_safety_slice,bridge_guided_dbox_style_guard,10,10,3.2,2,0,2,2,0,0,0
coach_B_only,clarification_safety_slice,bridge_contract_compact_guard,10,10,2.9,0,1,0,0,0,0,0
coach_B_only,clarification_safety_slice,bridge_contract_compact_guard_repair,10,10,3.0,1,1,1,1,1,0,0
coach_B_only,policy_safety_slice,enhanced_prompt_only_clean,4,4,3.5,3,1,3,3,0,0,0
coach_B_only,policy_safety_slice,codehelp_codeaid_clean,4,4,3.5,2,0,2,2,0,0,0
coach_B_only,policy_safety_slice,dbox_inspired_clean,4,4,3.0,1,1,1,1,1,0,0
coach_B_only,policy_safety_slice,dbox_inspired_guard,4,4,3.0,1,1,1,1,0,0,0
coach_B_only,policy_safety_slice,bridge_guided_dbox_style_guard,4,4,3.25,2,1,2,2,1,0,0
coach_B_only,policy_safety_slice,bridge_contract_compact_guard,4,4,3.25,2,1,2,2,1,0,0
coach_B_only,policy_safety_slice,bridge_contract_compact_guard_repair,4,4,4.0,4,0,4,4,0,0,0
priority60_adjudicated_plus_coachA,main_scaffold_eval,enhanced_prompt_only_clean,31,31,3.0323,7,8,7,7,9,12,13
priority60_adjudicated_plus_coachA,main_scaffold_eval,codehelp_codeaid_clean,31,31,3.7097,19,2,19,19,2,6,4
priority60_adjudicated_plus_coachA,main_scaffold_eval,dbox_inspired_clean,31,31,3.7742,21,4,21,21,2,6,5
priority60_adjudicated_plus_coachA,main_scaffold_eval,dbox_inspired_guard,31,31,3.7742,23,3,23,23,2,2,4
priority60_adjudicated_plus_coachA,main_scaffold_eval,bridge_guided_dbox_style_guard,31,31,3.7419,20,2,20,20,2,9,3
priority60_adjudicated_plus_coachA,main_scaffold_eval,bridge_contract_compact_guard,31,31,4.0,23,1,23,23,0,5,6
priority60_adjudicated_plus_coachA,main_scaffold_eval,bridge_contract_compact_guard_repair,31,31,4.0645,22,1,22,22,0,6,2
priority60_adjudicated_plus_coachA,main_eval_with_caution,enhanced_prompt_only_clean,5,5,3.2,2,2,2,2,2,1,2
priority60_adjudicated_plus_coachA,main_eval_with_caution,codehelp_codeaid_clean,5,5,3.4,3,1,3,3,0,0,0
priority60_adjudicated_plus_coachA,main_eval_with_caution,dbox_inspired_clean,5,5,3.6,3,0,3,3,0,1,2
priority60_adjudicated_plus_coachA,main_eval_with_caution,dbox_inspired_guard,5,5,3.2,2,1,2,2,0,1,0
priority60_adjudicated_plus_coachA,main_eval_with_caution,bridge_guided_dbox_style_guard,5,5,3.6,3,1,3,3,0,1,0
priority60_adjudicated_plus_coachA,main_eval_with_caution,bridge_contract_compact_guard,5,5,3.4,2,0,2,2,0,2,0
priority60_adjudicated_plus_coachA,main_eval_with_caution,bridge_contract_compact_guard_repair,5,5,4.2,5,0,5,5,0,0,1
priority60_adjudicated_plus_coachA,clarification_safety_slice,enhanced_prompt_only_clean,10,10,3.2,3,1,3,3,2,4,4
priority60_adjudicated_plus_coachA,clarification_safety_slice,codehelp_codeaid_clean,10,10,3.3,5,2,5,5,0,2,3
priority60_adjudicated_plus_coachA,clarification_safety_slice,dbox_inspired_clean,10,10,3.7,6,0,6,6,0,3,1
priority60_adjudicated_plus_coachA,clarification_safety_slice,dbox_inspired_guard,10,10,3.8,6,0,6,6,0,4,0
priority60_adjudicated_plus_coachA,clarification_safety_slice,bridge_guided_dbox_style_guard,10,10,3.4,4,1,4,4,0,4,1
priority60_adjudicated_plus_coachA,clarification_safety_slice,bridge_contract_compact_guard,10,10,3.6,5,0,5,4,0,6,2
priority60_adjudicated_plus_coachA,clarification_safety_slice,bridge_contract_compact_guard_repair,10,10,3.7,8,1,8,8,0,1,1
priority60_adjudicated_plus_coachA,policy_safety_slice,enhanced_prompt_only_clean,4,4,3.5,2,0,2,2,0,2,2
priority60_adjudicated_plus_coachA,policy_safety_slice,codehelp_codeaid_clean,4,4,3.75,3,0,3,3,0,1,0
priority60_adjudicated_plus_coachA,policy_safety_slice,dbox_inspired_clean,4,4,3.75,3,1,3,3,1,0,2
priority60_adjudicated_plus_coachA,policy_safety_slice,dbox_inspired_guard,4,4,3.75,3,0,3,3,0,1,1
priority60_adjudicated_plus_coachA,policy_safety_slice,bridge_guided_dbox_style_guard,4,4,3.75,2,1,2,2,1,1,0
priority60_adjudicated_plus_coachA,policy_safety_slice,bridge_contract_compact_guard,4,4,4.0,3,0,3,3,0,1,1
priority60_adjudicated_plus_coachA,policy_safety_slice,bridge_contract_compact_guard_repair,4,4,4.25,4,0,4,4,0,0,0
priority60_adjudicated_plus_coachB,main_scaffold_eval,enhanced_prompt_only_clean,31,31,2.9355,7,8,7,7,9,2,13
priority60_adjudicated_plus_coachB,main_scaffold_eval,codehelp_codeaid_clean,31,31,3.1935,8,3,8,8,2,0,4
priority60_adjudicated_plus_coachB,main_scaffold_eval,dbox_inspired_clean,31,31,3.1613,8,3,8,8,2,1,5
priority60_adjudicated_plus_coachB,main_scaffold_eval,dbox_inspired_guard,31,31,3.2258,8,2,8,8,2,0,4
priority60_adjudicated_plus_coachB,main_scaffold_eval,bridge_guided_dbox_style_guard,31,31,3.2258,9,2,9,9,2,0,3
priority60_adjudicated_plus_coachB,main_scaffold_eval,bridge_contract_compact_guard,31,31,3.2258,8,1,8,8,0,1,6
priority60_adjudicated_plus_coachB,main_scaffold_eval,bridge_contract_compact_guard_repair,31,31,3.2581,8,1,8,8,0,1,2
priority60_adjudicated_plus_coachB,main_eval_with_caution,enhanced_prompt_only_clean,5,5,2.6,0,2,0,0,2,0,2
priority60_adjudicated_plus_coachB,main_eval_with_caution,codehelp_codeaid_clean,5,5,3.0,0,0,0,0,0,0,0
priority60_adjudicated_plus_coachB,main_eval_with_caution,dbox_inspired_clean,5,5,3.4,2,0,2,2,0,0,2
priority60_adjudicated_plus_coachB,main_eval_with_caution,dbox_inspired_guard,5,5,3.2,2,1,2,2,0,0,0
priority60_adjudicated_plus_coachB,main_eval_with_caution,bridge_guided_dbox_style_guard,5,5,3.0,1,1,1,1,0,0,0
priority60_adjudicated_plus_coachB,main_eval_with_caution,bridge_contract_compact_guard,5,5,3.4,2,0,2,2,0,0,0
priority60_adjudicated_plus_coachB,main_eval_with_caution,bridge_contract_compact_guard_repair,5,5,3.6,3,0,3,3,0,0,1
priority60_adjudicated_plus_coachB,clarification_safety_slice,enhanced_prompt_only_clean,10,10,3.1,2,1,2,2,2,1,4
priority60_adjudicated_plus_coachB,clarification_safety_slice,codehelp_codeaid_clean,10,10,2.9,1,2,1,1,0,0,3
priority60_adjudicated_plus_coachB,clarification_safety_slice,dbox_inspired_clean,10,10,3.7,6,0,6,6,0,0,1
priority60_adjudicated_plus_coachB,clarification_safety_slice,dbox_inspired_guard,10,10,3.5,5,0,5,5,0,0,0
priority60_adjudicated_plus_coachB,clarification_safety_slice,bridge_guided_dbox_style_guard,10,10,3.3,3,0,3,3,0,0,1
priority60_adjudicated_plus_coachB,clarification_safety_slice,bridge_contract_compact_guard,10,10,3.1,1,0,1,0,0,2,2
priority60_adjudicated_plus_coachB,clarification_safety_slice,bridge_contract_compact_guard_repair,10,10,3.2,2,0,2,2,0,0,1
priority60_adjudicated_plus_coachB,policy_safety_slice,enhanced_prompt_only_clean,4,4,4.0,4,0,4,4,0,0,2
priority60_adjudicated_plus_coachB,policy_safety_slice,codehelp_codeaid_clean,4,4,3.5,2,0,2,2,0,0,0
priority60_adjudicated_plus_coachB,policy_safety_slice,dbox_inspired_clean,4,4,3.5,2,1,2,2,1,0,2
priority60_adjudicated_plus_coachB,policy_safety_slice,dbox_inspired_guard,4,4,3.5,2,0,2,2,0,0,1
priority60_adjudicated_plus_coachB,policy_safety_slice,bridge_guided_dbox_style_guard,4,4,3.25,2,1,2,2,1,0,0
priority60_adjudicated_plus_coachB,policy_safety_slice,bridge_contract_compact_guard,4,4,4.0,3,0,3,3,0,0,1
priority60_adjudicated_plus_coachB,policy_safety_slice,bridge_contract_compact_guard_repair,4,4,4.0,4,0,4,4,0,0,0
