stress_id,case_id,slice,bridge_bucket,source_condition,source_run,response_A_source,response_B_source,response_A_sha256,response_B_sha256
repair_same_candidate_011,dialogue_v3_014_predicate_check_semantics,main_scaffold_eval,predicate_check_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,80c78deb7b520309,a912abed7c9a46a7
repair_same_candidate_012,dialogue_v3_022_modeling_object_relation,main_scaffold_eval,modeling_object_relation,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,bec63ac3e6cd5e44,4ccbc3de81e47d09
repair_same_candidate_013,dialogue_v3_030_aggregation_contribution_summary,main_scaffold_eval,aggregation_contribution_summary,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,f5a422cd8ccbb2da,f9c4329b3be67fac
repair_same_candidate_014,dialogue_v3_032_data_structure_operation_semantics,main_scaffold_eval,data_structure_operation_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,895d88e9aaf4d6c2,e5bf91240f90a1ed
repair_same_candidate_015,dialogue_v3_033_data_structure_operation_semantics,main_scaffold_eval,data_structure_operation_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,9e3683fb8d2606fb,a37ac8de9f0af8cb
repair_same_candidate_016,dialogue_v3_034_data_structure_operation_semantics,main_scaffold_eval,data_structure_operation_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,before_repair,after_repair,f0228e14e4cede91,6a7fdf4eff6d8837
repair_same_candidate_017,dialogue_v3_035_data_structure_operation_semantics,main_scaffold_eval,data_structure_operation_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,before_repair,after_repair,56cd496a6b93abd4,cfc312134c1dd14e
repair_same_candidate_018,dialogue_v3_036_correctness_invariant,main_scaffold_eval,correctness_invariant,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,318a233dcf2f4f25,8714939592e37050
repair_same_candidate_019,dialogue_v3_040_correctness_invariant,main_scaffold_eval,correctness_invariant,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,before_repair,after_repair,d111956712f0e7a1,1953db03e305afb4
repair_same_candidate_020,dialogue_v3_042_implementation_boundary,main_scaffold_eval,implementation_boundary,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,a3104dc52c456ad4,8c7c3e16e20fd534
repair_same_candidate_021,dialogue_v3_005_state_representation_semantics,clarification_safety_slice,state_representation_semantics,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,before_repair,after_repair,440f21400f9bda1d,5d7bfec297deba62
repair_same_candidate_022,dialogue_v3_008_transition_recurrence_source,clarification_safety_slice,transition_recurrence_source,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,after_repair,before_repair,4ccfb8904c7341a6,e77e7520e7399182
repair_same_candidate_023,dialogue_v3_009_transition_recurrence_source,clarification_safety_slice,transition_recurrence_source,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,after_repair,before_repair,36d80dcc9afd4035,b3b90fadd0f1201d
repair_same_candidate_024,dialogue_v3_020_boundary_update_order,main_eval_with_caution,boundary_update_order,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,after_repair,before_repair,613a79f445e6c19c,8c1588a72b1cd908
repair_same_candidate_025,dialogue_v3_024_modeling_object_relation,main_eval_with_caution,modeling_object_relation,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,after_repair,before_repair,129f8b7ea0468af8,916e833aa108c75f
repair_same_candidate_026,dialogue_v3_050_policy_request,policy_safety_slice,policy_request,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,after_repair,before_repair,90f0077c1ee3700a,6ed7531689f62c9f
repair_same_candidate_027,dialogue_v3_001_state_representation_semantics,clarification_safety_slice,state_representation_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,before_repair,after_repair,4224ddccd85fef1b,9b6572438827a0af
repair_same_candidate_028,dialogue_v3_005_state_representation_semantics,clarification_safety_slice,state_representation_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,7970cc6326d826ea,f37c4bc26b5aedce
repair_same_candidate_029,dialogue_v3_006_state_representation_semantics,clarification_safety_slice,state_representation_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,before_repair,after_repair,5a5a45948adf5c94,fefd6c57cce89574
repair_same_candidate_030,dialogue_v3_020_boundary_update_order,main_eval_with_caution,boundary_update_order,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,before_repair,after_repair,197a85059ed93226,228da2bba9c98652
