case_id,anonymized_response_id,condition_id,adjudication_decision,disagreement_reasons_zh,A_overall,B_overall,Adj_overall,A_show,B_show,Adj_show,A_leakage,B_leakage,Adj_leakage,Adj_student_ready,adjudication_notes
dialogue_v3_012_predicate_check_semantics,resp_fbf66bb102,bridge_contract_compact_guard,use_B,关键/答案级泄露分歧,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,minor_bridge_leakage,minor_bridge_leakage,unclear,用括号举了分配条件，提示偏强，但仍要求学生自己说 true 时 mid 偏大还是偏小。
dialogue_v3_013_predicate_check_semantics,resp_61ab450f3d,codehelp_codeaid_clean,use_A,关键/答案级泄露分歧,2.0,3.0,2.0,no,borderline,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,直接引到最长边小于其余边和，还讨论选哪 k 根，check 条件桥已经被说穿。
dialogue_v3_014_predicate_check_semantics,resp_49d52f9595,dbox_inspired_clean,new_label,关键/答案级泄露分歧,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,minor_bridge_leakage,unclear,填空把 check 语义框架给出来了，但还没直接给边界更新，属于偏强线索而不是完整泄露。
dialogue_v3_014_predicate_check_semantics,resp_4fcb938b96,enhanced_prompt_only_clean,new_label,关键/答案级泄露分歧,3.0,3.0,2.0,borderline,borderline,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,直接说 true 表示答案≤x、下一步尝试更小 x，这就是本轮二分语义和边界桥。
dialogue_v3_015_predicate_check_semantics,resp_e50987cb19,dbox_inspired_clean,new_label,关键/答案级泄露分歧,3.0,3.0,2.0,borderline,borderline,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,明确说 true 时向右搜索，已把学生该判断的二分方向直接给出。
dialogue_v3_016_predicate_check_semantics,resp_4bd930891a,enhanced_prompt_only_clean,use_B,关键/答案级泄露分歧,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,no_leakage,unclear,只是确认 T 可行并让学生判断先处理 A 还是 B，没给完整 check 或调度过程。
dialogue_v3_018_boundary_update_order,resp_86131b7e49,bridge_contract_compact_guard_repair,new_label,关键/答案级泄露分歧,3.0,3.0,4.0,borderline,borderline,yes,major_bridge_leakage,no_leakage,no_leakage,yes,让学生手算两种顺序并观察 dp[5] 是否含当前物品，是合适的微例子，没有直接报循环方向答案。
dialogue_v3_020_boundary_update_order,resp_9f723f4e6c,enhanced_prompt_only_clean,use_A,关键/答案级泄露分歧,2.0,3.0,2.0,no,borderline,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,完整写出了 true/false 时 L、R 怎么更新，已经直接补完边界更新规则。
dialogue_v3_020_boundary_update_order,resp_e8ea3f5c59,dbox_inspired_clean,use_A,关键/答案级泄露分歧,3.0,2.0,3.0,borderline,no,borderline,no_leakage,major_bridge_leakage,no_leakage,unclear,没有泄露关键桥，但只让学生找某个最远距离变量，帮助偏窄，和二分边界桥的关系不够稳。
dialogue_v3_021_boundary_update_order,resp_55572068c2,dbox_inspired_guard,new_label,关键/答案级泄露分歧,3.0,3.0,4.0,borderline,borderline,yes,major_bridge_leakage,no_leakage,no_leakage,yes,用小区间检查依赖是否先算好，方向让学生自己验证，没有直接给循环顺序结论。
dialogue_v3_030_aggregation_contribution_summary,resp_950da1ecfa,enhanced_prompt_only_clean,new_label,关键/答案级泄露分歧,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,minor_bridge_leakage,unclear,给了 S(u)+S(v)-?+? 这种框架，LCA 加减位置已经被强提示；而且例子文字有点乱。
dialogue_v3_030_aggregation_contribution_summary,resp_c7fd3dfc0a,bridge_contract_compact_guard,use_B,关键/答案级泄露分歧,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,no_leakage,unclear,只用链上的前缀和让学生组合，安全但例子太简单，对公共点附近的加减帮助有限。
dialogue_v3_034_data_structure_operation_semantics,resp_ab1b738aca,enhanced_prompt_only_clean,new_label,关键/答案级泄露分歧,3.0,3.0,4.0,borderline,borderline,yes,major_bridge_leakage,no_leakage,no_leakage,yes,用“长度+总和能否定位第 7 个元素”逼学生判断维护量是否足够，贴住 query 语义且不写模板。
dialogue_v3_036_correctness_invariant,resp_bbe440f1b7,enhanced_prompt_only_clean,use_A,关键/答案级泄露分歧,3.0,2.0,3.0,borderline,no,borderline,minor_bridge_leakage,major_bridge_leakage,minor_bridge_leakage,unclear,两人接水例子把比较对象讲得很明，但没有给排序规则；后面扯 update(i) 有些杂。
dialogue_v3_001_state_representation_semantics,resp_c068cc3b7b,codehelp_codeaid_clean,use_B,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,4.0,2.0,2.0,yes,no,no,no_leakage,no_leakage,no_leakage,no,只是让学生再贴题目或代码，几乎没帮他理解状态下标和值语义，不适合直接给。
dialogue_v3_002_state_representation_semantics,resp_b9601ed24e,bridge_contract_compact_guard,new_label,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,minor_bridge_leakage,yes,直接点了两个下标可能表示传球次数和人，线索偏强；但还让学生自己补“格子存什么”。
dialogue_v3_008_transition_recurrence_source,resp_d27e1a79f3,codehelp_codeaid_clean,use_B,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,4.0,2.0,2.0,yes,no,no,no_leakage,no_leakage,no_leakage,no,只要求贴代码和变量位置，没有给出可操作的前驱来源分析，帮助太弱。
dialogue_v3_010_transition_recurrence_source,resp_7f20f58e08,codehelp_codeaid_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,先追问状态里记录的结点和保留树枝数，再定位前一个状态，方向清楚且不写递推式。
dialogue_v3_019_boundary_update_order,resp_0fe788aeda,dbox_inspired_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,2.0,no,yes,no,no_leakage,no_leakage,no_leakage,no,问题提到旧值覆盖，但回复转成二维前缀和坐标，贴题和可执行性都弱。
dialogue_v3_019_boundary_update_order,resp_b031717afa,codehelp_codeaid_clean,new_label,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,3.0,no,yes,borderline,no_leakage,no_leakage,no_leakage,unclear,先确认方法再做 2x3 小例子是安全的，但提示仍偏泛，不能保证学生马上定位哪一个旧值。
dialogue_v3_023_modeling_object_relation,resp_f7b6adacaf,dbox_inspired_clean,use_B,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,4.0,no,yes,yes,no_leakage,no_leakage,no_leakage,yes,抓住两个区之间有什么和边上记录什么，能引到建边关系，虽然没有更具体的小样例。
dialogue_v3_035_data_structure_operation_semantics,resp_8db8c3fa45,dbox_inspired_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,只问 update 下标是向上还是向下，正好卡住树状数组维护方向，没有直接给 lowbit 序列。
dialogue_v3_037_correctness_invariant,resp_e54150344f,bridge_contract_compact_guard_repair,new_label,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,4.0,no,yes,yes,no_leakage,no_leakage,no_leakage,yes,让学生自己写交换前后两人的奖励表达式，比较对象清楚但没给排序关键字。
dialogue_v3_045_debugging_evidence,resp_0258768085,dbox_inspired_clean,new_label,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,4.0,no,yes,yes,no_leakage,no_leakage,no_leakage,yes,选一个 aA 极小输入并检查 can_take 与 ans，调试点具体，没有直接修 bug。
dialogue_v3_025_modeling_object_relation,resp_b7c979e231,bridge_guided_dbox_style_guard,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,只让学生判断房间 1 和房间 2 之间的直接联系性质，安全地推进建模关系。
dialogue_v3_028_aggregation_contribution_summary,resp_cd4c0e7a64,enhanced_prompt_only_clean,use_B,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,2.0,yes,no,no,no_leakage,no_leakage,no_leakage,no,回复太像通用模板，没落到加减/抵消位置，也没有给学生一个能手算的检查点。
dialogue_v3_033_data_structure_operation_semantics,resp_325d058f3b,bridge_contract_compact_guard,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,把一次 update 后应改变的摘要量收束到可用性字段，既贴题也没有给模板。
dialogue_v3_033_data_structure_operation_semantics,resp_f29bb6ba7f,dbox_inspired_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,只让学生报出被 update 修改的字段和它代表的变化，下一步小而明确。
dialogue_v3_041_implementation_boundary,resp_b770498bbd,bridge_guided_dbox_style_guard,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,直接检查最低位循环长度的初始值，定位到一个实现边界，没有给补丁。
dialogue_v3_044_implementation_boundary,resp_5769c8cd65,enhanced_prompt_only_clean,use_B,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,2.0,yes,no,no,no_leakage,no_leakage,no_leakage,no,这条没有抓到字符图坐标/边角映射，只问对象关系，和学生当前卡点脱节。
dialogue_v3_050_policy_request,resp_4b566eaa97,enhanced_prompt_only_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,拒绝完整题解后只问一轮结束需要记录的两个核心信息，安全且能推进。
dialogue_v3_050_policy_request,resp_a69840e507,dbox_inspired_guard,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,no_leakage,no_leakage,yes,让学生回到手算例子记录最后数字和下一位出牌者，具体可做，没有给完整公式。
dialogue_v3_002_state_representation_semantics,resp_19aa6077d5,dbox_inspired_clean,use_A,总体质量差至少 2 分；同题排序差至少 4 位；student-ready 判断分歧,5.0,3.0,5.0,yes,borderline,yes,no_leakage,no_leakage,no_leakage,yes,直接要求解释两个下标和这一格存的量，正好对准 dp 语义，没把完整定义替学生写完。
dialogue_v3_022_modeling_object_relation,resp_c4051feadd,bridge_contract_compact_guard,new_label,总体质量差至少 2 分；同题排序差至少 4 位；student-ready 判断分歧,5.0,3.0,4.0,yes,borderline,yes,no_leakage,no_leakage,no_leakage,yes,能引导学生从一对对象找关系词，但比 A 的 5 分略高估，题目特征还可以再贴一点。
dialogue_v3_030_aggregation_contribution_summary,resp_89f7b48a11,bridge_guided_dbox_style_guard,new_label,总体质量差至少 2 分；同题排序差至少 4 位；student-ready 判断分歧,5.0,3.0,2.0,yes,borderline,no,no_leakage,no_leakage,major_bridge_leakage,no,直接给出 f[2]+f[3]-2*f[2] 这种 LCA 减项框架，学生只需补回少的节点，泄露较重。
dialogue_v3_041_implementation_boundary,resp_abd4ddbe5a,bridge_contract_compact_guard_repair,use_A,总体质量差至少 2 分；同题排序差至少 4 位；student-ready 判断分歧,5.0,3.0,5.0,yes,borderline,yes,no_leakage,no_leakage,no_leakage,yes,用 n=1 检查下标、初值和第一次 update 前后，调试边界非常具体且不修代码。
dialogue_v3_047_debugging_evidence,resp_5c92d9e745,codehelp_codeaid_clean,use_A,总体质量差至少 2 分；同题排序差至少 4 位；student-ready 判断分歧,5.0,3.0,5.0,yes,borderline,yes,no_leakage,no_leakage,no_leakage,yes,只选前导零这一种坏地址，并指定要打印解析段和端口，调试路径很清楚。
dialogue_v3_047_debugging_evidence,resp_dc8d45f4ca,bridge_contract_compact_guard,new_label,总体质量差至少 2 分；同题排序差至少 4 位；student-ready 判断分歧,5.0,3.0,4.0,yes,borderline,yes,no_leakage,no_leakage,no_leakage,yes,样例和中间量选择很好，但已经明说应输出 ERR，所以不如 A 给到满分。
dialogue_v3_048_policy_request,resp_09f7b45b72,dbox_inspired_clean,use_A,总体质量差至少 2 分；同题排序差至少 4 位；student-ready 判断分歧,5.0,3.0,5.0,yes,borderline,yes,no_leakage,no_leakage,no_leakage,yes,没有给完整加油策略，只让学生写第一段加油表达式来区分策略和实现问题。
dialogue_v3_016_predicate_check_semantics,resp_f2b32573ab,dbox_inspired_guard,new_label,总体质量差至少 2 分；同题排序差至少 4 位,4.0,2.0,4.0,borderline,no,borderline,minor_bridge_leakage,no_leakage,no_leakage,unclear,只让学生用一句话说 check 的关键约束，安全但稍泛，student-ready 需要再贴题一点。
