case_id,problem_ref,topic,student_message,problem_context,recent_dialogue,student_code_excerpt,seed_gold_student_state,seed_gold_bridge_family,seed_gold_bridge_subtype,seed_gold_known_focus,seed_gold_help_seeking_type,seed_gold_missing_link,seed_gold_allowed_help_level,seed_gold_forbidden_completion,seed_needs_new_focus,coach_problem_solving_state,coach_bridge_family,coach_secondary_bridge_family,coach_bridge_subtype,coach_known_focus,coach_bridge_evidence,coach_missing_bridge_description,coach_help_seeking_type,coach_allowed_help_level,coach_help_forms,coach_forbidden_content,coach_needs_new_focus,coach_confidence,coach_notes,review_status
cp_bridge_014,generic,complexity_fit,我写了两层循环，但 n 到 1e5，会不会过我判断不出来。,需要根据数据范围估算复杂度是否可行。,,,strategy_application_gap,complexity_bridge,,complexity_fit,instrumental_help,把数据范围和循环次数相乘，估算总操作量是否超过可接受范围。,L2,不能直接替学生选择最终算法。,false,strategy_application_gap,complexity_bridge,,,complexity_fit,,把数据范围和循环次数相乘，估算总操作量是否超过可接受范围。,instrumental_help,L2,,不能直接替学生选择最终算法。,false,,,review_seed_gold
cp_bridge_015,generic,data_type,样例能过，但大数据总是错，我怀疑是不是 int 不够。,数据范围可能导致整数溢出。,,,debugging_verification_gap,boundary_bridge,,data_type,instrumental_help,需要把最大可能值和 int 上限比较，判断是否溢出。,L2,不能直接改完所有类型和代码。,false,debugging_verification_gap,boundary_bridge,,,data_type,,需要把最大可能值和 int 上限比较，判断是否溢出。,instrumental_help,L2,,不能直接改完所有类型和代码。,false,,,review_seed_gold
cp_bridge_016,generic,loop_boundary,我这里循环到底该从 0 开始还是 1 开始，总是少算一个。,数组下标和循环边界相关错误。,,,debugging_verification_gap,boundary_bridge,,loop_boundary,instrumental_help,循环范围必须和数组下标语义、题目编号方式对齐。,L2,不能直接给完整循环范围答案。,false,debugging_verification_gap,boundary_bridge,,,loop_boundary,,循环范围必须和数组下标语义、题目编号方式对齐。,instrumental_help,L2,,不能直接给完整循环范围答案。,false,,,review_seed_gold
cp_bridge_017,generic,mapping_bridge,题目说合并两个集合，我知道可能是并查集，但不知道这个操作在代码里对应哪一步。,动态维护若干集合的合并与查询。,,,strategy_application_gap,mapping_bridge,,unknown,instrumental_help,题目里的合并动作要映射到并查集里的 union 操作。,L2,不能直接给完整并查集模板。,true,strategy_application_gap,mapping_bridge,,,unknown,,题目里的合并动作要映射到并查集里的 union 操作。,instrumental_help,L2,,不能直接给完整并查集模板。,true,,,review_seed_gold
cp_bridge_018,generic,heap_mapping,每次取当前最小的两个合并，我知道要用堆，但不明白题目动作怎么落到 push 和 pop。,反复取最小元素并合并，类似哈夫曼合并过程。,,,strategy_application_gap,mapping_bridge,,unknown,instrumental_help,题目里的取最小和放回新值分别对应堆的 pop 和 push。,L2,不能直接给完整堆实现或完整哈夫曼代码。,true,strategy_application_gap,mapping_bridge,,,unknown,,题目里的取最小和放回新值分别对应堆的 pop 和 push。,instrumental_help,L2,,不能直接给完整堆实现或完整哈夫曼代码。,true,,,review_seed_gold
cp_bridge_019,generic,prefix_sum_aggregation,很多次问区间和，我不知道为什么可以先处理一个数组之后 O(1) 查。,静态数组，多次查询区间和。,,,strategy_application_gap,aggregation_bridge,,unknown,instrumental_help,前缀和把从开头到当前位置的累计结果存起来，区间和可由两个累计量相减得到。,L2,不能直接给完整前缀和公式。,true,strategy_application_gap,aggregation_bridge,,,unknown,,前缀和把从开头到当前位置的累计结果存起来，区间和可由两个累计量相减得到。,instrumental_help,L2,,不能直接给完整前缀和公式。,true,,,review_seed_gold
cp_bridge_020,generic,topological_ordering,有些任务必须先做，我不知道为什么要按入度为 0 的点开始处理。,有先后依赖关系，需要判断或生成合法顺序。,,,strategy_application_gap,ordering_bridge,,unknown,instrumental_help,入度为 0 表示当前没有未完成前置依赖，可以作为下一步处理对象。,L2,不能直接给完整拓扑排序流程和代码。,true,strategy_application_gap,ordering_bridge,,,unknown,,入度为 0 表示当前没有未完成前置依赖，可以作为下一步处理对象。,instrumental_help,L2,,不能直接给完整拓扑排序流程和代码。,true,,,review_seed_gold
cp_bridge_021,generic,text_comprehension,题目说连续子段的最大值最小，我连这句话是在让我求什么都没看懂。,把数组分成若干连续段，要求某个段内代价的最大值尽量小。,,,text_comprehension_blocked,representation_bridge,,unknown,instrumental_help,需要先把目标语句拆成分段、每段代价、所有段里的最大代价三个对象。,L1,不能直接说出二分答案或完整建模方式。,true,text_comprehension_blocked,representation_bridge,,,unknown,,需要先把目标语句拆成分段、每段代价、所有段里的最大代价三个对象。,instrumental_help,L1,,不能直接说出二分答案或完整建模方式。,true,,,review_seed_gold
cp_bridge_022,generic,text_comprehension,题面说每条边只能走一次又说可以回到起点，我不知道它到底限制了什么。,图上路径或欧拉回路类题面，学生卡在限制条件含义。,,,text_comprehension_blocked,modeling_bridge,,general_modeling,instrumental_help,需要先区分点可重复、边不可重复、路径终点是否固定这些题面对象。,L1,不能直接给出欧拉路径或图论结论。,false,text_comprehension_blocked,modeling_bridge,,,general_modeling,,需要先区分点可重复、边不可重复、路径终点是否固定这些题面对象。,instrumental_help,L1,,不能直接给出欧拉路径或图论结论。,false,,,review_seed_gold
cp_bridge_023,generic,type_confirm,这题是不是单调队列优化 DP？你直接告诉我方向就行。,DP 转移中可能存在窗口最值优化，但学生没有给出状态或转移尝试。,,,strategy_generation_blocked,complexity_bridge,,method_selection,executive_help,学生在索要算法类型确认，而不是展示窗口范围或单调性证据。,L1,不能确认或否认单调队列优化，不能给算法名。,false,strategy_generation_blocked,complexity_bridge,,,method_selection,,学生在索要算法类型确认，而不是展示窗口范围或单调性证据。,executive_help,L1,,不能确认或否认单调队列优化，不能给算法名。,false,,,review_seed_gold
cp_bridge_024,generic,method_selection,我只会暴力枚举所有方案，但数据范围太大，我不知道还能往哪个方向想。,需要从暴力状态或枚举对象中发现可压缩结构。,,,strategy_generation_blocked,complexity_bridge,,complexity_fit,instrumental_help,需要把暴力复杂度和数据范围对齐，再找出重复计算或可维护信息。,L1,不能直接指定最终算法或完整优化路线。,false,strategy_generation_blocked,complexity_bridge,,,complexity_fit,,需要把暴力复杂度和数据范围对齐，再找出重复计算或可维护信息。,instrumental_help,L1,,不能直接指定最终算法或完整优化路线。,false,,,review_seed_gold
cp_bridge_025,generic,greedy_misconception,我觉得每次选持续时间最短的活动也能选最多个，因为短的占用少。这个贪心对吗？,活动选择问题，正确贪心常和结束时间有关。,,,strategy_misconception,selection_bridge,,greedy_basis,instrumental_help,需要用局部反例或交换视角区分持续时间短和结束时间早。,L2,不能直接给完整正确贪心准则和证明。,false,strategy_misconception,selection_bridge,,,greedy_basis,,需要用局部反例或交换视角区分持续时间短和结束时间早。,instrumental_help,L2,,不能直接给完整正确贪心准则和证明。,false,,,review_seed_gold
cp_bridge_026,generic,monotonicity_misconception,我觉得答案越大越容易满足，所以二分 check 里 true 的那边应该往右，但样例好像不对。,二分答案题，候选值和可行性方向容易写反。,,,strategy_misconception,predicate_bridge,,check_condition,instrumental_help,需要先判断候选答案增大时约束是放松还是收紧，再决定 true 区间方向。,L2,不能直接给完整 check 和左右边界更新。,false,strategy_misconception,predicate_bridge,,,check_condition,,需要先判断候选答案增大时约束是放松还是收紧，再决定 true 区间方向。,instrumental_help,L2,,不能直接给完整 check 和左右边界更新。,false,,,review_seed_gold
cp_bridge_027,generic,monotonic_stack_mapping,我知道可能要维护一个栈，但题目里的下一个更大元素到底怎么对应到入栈出栈我做不出来。,单调栈处理最近更大或更小关系。,,,implementation_execution_gap,mapping_bridge,,unknown,instrumental_help,题目里的最近更大关系要映射成栈中保留未找到答案的位置，并在新元素到来时弹出结算。,L2,不能直接给完整单调栈循环模板。,true,implementation_execution_gap,mapping_bridge,,,unknown,,题目里的最近更大关系要映射成栈中保留未找到答案的位置，并在新元素到来时弹出结算。,instrumental_help,L2,,不能直接给完整单调栈循环模板。,true,,,review_seed_gold
cp_bridge_028,generic,recursion_implementation,我写 DFS 的时候总把父节点又递归回去了，代码会死循环，我知道要传 fa 但不知道放在哪里。,树上 DFS 需要避免从儿子走回父亲。,,,implementation_execution_gap,boundary_bridge,,recursion_structure,instrumental_help,递归参数里要保留当前节点的父亲，并在枚举邻居时跳过父亲。,L3,不能直接替学生写完整 DFS 函数。,false,implementation_execution_gap,boundary_bridge,,,recursion_structure,,递归参数里要保留当前节点的父亲，并在枚举邻居时跳过父亲。,instrumental_help,L3,,不能直接替学生写完整 DFS 函数。,false,,,review_seed_gold
cp_bridge_029,generic,loop_boundary_debug,我贴了代码，样例 1 少输出最后一个数，for 循环是 i<n 还是 i<=n 我一直改不对。,数组下标和输入规模存在 0/1 起点混用。,,,debugging_verification_gap,boundary_bridge,,loop_boundary,instrumental_help,需要把循环变量含义与输入编号范围逐项对齐，而不是盲改符号。,L3,不能直接给出所有循环边界的最终改法。,false,debugging_verification_gap,boundary_bridge,,,loop_boundary,,需要把循环变量含义与输入编号范围逐项对齐，而不是盲改符号。,instrumental_help,L3,,不能直接给出所有循环边界的最终改法。,false,,,review_seed_gold
cp_bridge_030,generic,tle_debug_complexity,我代码能过小样例，但是大数据 TLE，核心是双重循环枚举 i 和 j，我不知道怎么判断瓶颈。,n 达到 2e5，双重循环不可行，需要定位复杂度瓶颈。,,,debugging_verification_gap,complexity_bridge,,complexity_fit,instrumental_help,需要把嵌套循环次数和 n 的上限相乘，确认真正瓶颈在哪一段。,L3,不能直接替学生换成最终优化算法。,false,debugging_verification_gap,complexity_bridge,,,complexity_fit,,需要把嵌套循环次数和 n 的上限相乘，确认真正瓶颈在哪一段。,instrumental_help,L3,,不能直接替学生换成最终优化算法。,false,,,review_seed_gold
cp_bridge_031,generic,reflection_transfer,这道背包我照着做出来了，但下次遇到类似题我还是不知道怎么判断是不是背包。,学生已完成当前题，但缺少迁移总结。,,,reflection_transfer_gap,mapping_bridge,,method_selection,instrumental_help,需要从题面中总结出容量限制、物品选择、每个物品选或不选这些可迁移信号。,L2,不能直接给一整套题型识别口诀。,false,reflection_transfer_gap,mapping_bridge,,,method_selection,,需要从题面中总结出容量限制、物品选择、每个物品选或不选这些可迁移信号。,instrumental_help,L2,,不能直接给一整套题型识别口诀。,false,,,review_seed_gold
cp_bridge_032,generic,proof_reflection,我能背出按结束时间排序，但我讲不出为什么这个贪心是对的。,活动选择或区间调度题，学生已有算法但缺正确性解释。,,,reflection_transfer_gap,selection_bridge,,greedy_basis,instrumental_help,需要把选早结束活动不会减少后续可选空间这一交换理由说清楚。,L2,不能直接给完整交换证明。,false,reflection_transfer_gap,selection_bridge,,,greedy_basis,,需要把选早结束活动不会减少后续可选空间这一交换理由说清楚。,instrumental_help,L2,,不能直接给完整交换证明。,false,,,review_seed_gold
cp_bridge_033,generic,rolling_array_state,二维 dp 我会写了，但老师说可以压成一维，我不知道压掉哪一维才不会覆盖错。,背包或序列 DP 中使用滚动数组降低空间。,,,strategy_application_gap,representation_bridge,,state_design,instrumental_help,需要判断当前状态只依赖上一层还是本层，从而决定哪一维可以被滚动或倒序维护。,L3,不能直接给完整压维代码和循环方向。,false,strategy_application_gap,representation_bridge,,,state_design,,需要判断当前状态只依赖上一层还是本层，从而决定哪一维可以被滚动或倒序维护。,instrumental_help,L3,,不能直接给完整压维代码和循环方向。,false,,,review_seed_gold
cp_bridge_034,generic,interval_dp_order,区间 DP 的转移我大概懂，但为什么要先枚举长度，再枚举左端点？,区间 DP 需要先算小区间，再合并成大区间。,,,strategy_application_gap,ordering_bridge,,enumeration_order,instrumental_help,大区间依赖更短子区间，枚举顺序必须保证依赖已经算完。,L2,不能直接给完整区间 DP 三重循环模板。,false,strategy_application_gap,ordering_bridge,,,enumeration_order,,大区间依赖更短子区间，枚举顺序必须保证依赖已经算完。,instrumental_help,L2,,不能直接给完整区间 DP 三重循环模板。,false,,,review_seed_gold
cp_bridge_035,generic,relaxation_mapping,最短路里的 relax 我总觉得像玄学，dist[v] > dist[u] + w 这个动作在题目里是什么意思？,图上边权最短路径，学生卡在代码条件和路径含义映射。,,,problem_representation_unclear,mapping_bridge,,unknown,instrumental_help,松弛表示用一条经过 u 再走边到 v 的新路径，尝试改进当前已知最短距离。,L2,不能直接给完整 Dijkstra 或 SPFA 实现。,true,problem_representation_unclear,mapping_bridge,,,unknown,,松弛表示用一条经过 u 再走边到 v 的新路径，尝试改进当前已知最短距离。,instrumental_help,L2,,不能直接给完整 Dijkstra 或 SPFA 实现。,true,,,review_seed_gold
cp_bridge_036,generic,method_selection,边权都是非负数，为什么不能 DFS 找最短路？我感觉一直往小的边走就行。,非负边权图的单源最短路。,,,strategy_misconception,selection_bridge,,method_selection,instrumental_help,局部选择小边不保证全局最短，需要维护从起点到各点的当前最小距离。,L2,不能直接说出完整 Dijkstra 流程。,false,strategy_misconception,selection_bridge,,,method_selection,,局部选择小边不保证全局最短，需要维护从起点到各点的当前最小距离。,instrumental_help,L2,,不能直接说出完整 Dijkstra 流程。,false,,,review_seed_gold
cp_bridge_037,generic,dag_dp_ordering,DAG 上 DP 我知道要按拓扑序，但为什么不能随便 DFS 到哪算哪？,有向无环图上的路径计数或最长路 DP。,,,strategy_application_gap,ordering_bridge,,unknown,instrumental_help,每个点的 DP 值依赖所有前驱，处理顺序要保证前驱已经确定。,L2,不能直接给完整 DAG DP 或拓扑排序代码。,true,strategy_application_gap,ordering_bridge,,,unknown,,每个点的 DP 值依赖所有前驱，处理顺序要保证前驱已经确定。,instrumental_help,L2,,不能直接给完整 DAG DP 或拓扑排序代码。,true,,,review_seed_gold
cp_bridge_038,generic,tree_dp_aggregation,树形 DP 里每个孩子的答案怎么合到父亲，我总是漏掉一类情况。,树上选择或覆盖问题，需要从子树贡献合并到父节点状态。,,,strategy_application_gap,aggregation_bridge,,unknown,instrumental_help,父节点状态需要逐个吸收孩子子树的贡献，并区分选择父亲或不选父亲的情况。,L2,不能直接给完整树形 DP 状态和转移。,true,strategy_application_gap,aggregation_bridge,,,unknown,,父节点状态需要逐个吸收孩子子树的贡献，并区分选择父亲或不选父亲的情况。,instrumental_help,L2,,不能直接给完整树形 DP 状态和转移。,true,,,review_seed_gold
cp_bridge_039,generic,two_dim_prefix_sum,二维矩阵求子矩形和，我知道一维前缀和，但四个角为什么要加加减减我想不通。,静态二维矩阵，多次查询子矩形和。,,,strategy_application_gap,aggregation_bridge,,unknown,instrumental_help,二维前缀和查询要用大矩形减去多余上方和左方，再补回被减两次的重叠角。,L2,不能直接给完整四项查询公式。,true,strategy_application_gap,aggregation_bridge,,,unknown,,二维前缀和查询要用大矩形减去多余上方和左方，再补回被减两次的重叠角。,instrumental_help,L2,,不能直接给完整四项查询公式。,true,,,review_seed_gold
cp_bridge_040,generic,difference_array,很多次区间加，我不明白为什么只在 l 和 r+1 改两个位置就够了。,静态或离线区间加，最后恢复每个位置的值。,,,strategy_application_gap,mapping_bridge,,unknown,instrumental_help,差分数组记录相邻位置变化，区间开始处增加变化，结束后撤销变化。,L2,不能直接给完整差分更新和还原公式。,true,strategy_application_gap,mapping_bridge,,,unknown,,差分数组记录相邻位置变化，区间开始处增加变化，结束后撤销变化。,instrumental_help,L2,,不能直接给完整差分更新和还原公式。,true,,,review_seed_gold
cp_bridge_041,generic,bitmask_state_design,状压 DP 里的 mask 到底表示已经选了哪些东西，还是还剩哪些东西？我老混。,集合选择顺序或旅行类状态压缩 DP。,,,problem_representation_unclear,representation_bridge,,state_design,instrumental_help,mask 的每一位必须先绑定到一个对象，并明确 1 表示已选还是未选。,L2,不能直接给完整状压状态和转移。,false,problem_representation_unclear,representation_bridge,,,state_design,,mask 的每一位必须先绑定到一个对象，并明确 1 表示已选还是未选。,instrumental_help,L2,,不能直接给完整状压状态和转移。,false,,,review_seed_gold
cp_bridge_042,generic,bfs_state_modeling,迷宫里还带钥匙状态，我不知道 BFS 的队列里除了坐标还要放什么。,网格搜索中状态不仅由位置决定，还由已获得钥匙集合决定。,,,problem_representation_unclear,modeling_bridge,,general_modeling,instrumental_help,搜索状态要包含会影响未来可走性的变量，钥匙集合不能只存在脑子里。,L2,不能直接给完整 BFS 状态结构和代码。,false,problem_representation_unclear,modeling_bridge,,,general_modeling,,搜索状态要包含会影响未来可走性的变量，钥匙集合不能只存在脑子里。,instrumental_help,L2,,不能直接给完整 BFS 状态结构和代码。,false,,,review_seed_gold
cp_bridge_043,generic,sweep_line_events,扫描线我知道从左到右扫，但区间开始和结束怎么变成事件我不会建。,区间覆盖或重叠统计问题，需要把区间端点转成事件。,,,strategy_application_gap,mapping_bridge,,unknown,instrumental_help,每个区间的左端点和右端点分别对应覆盖数量的进入和离开事件。,L2,不能直接给完整事件排序和更新规则。,true,strategy_application_gap,mapping_bridge,,,unknown,,每个区间的左端点和右端点分别对应覆盖数量的进入和离开事件。,instrumental_help,L2,,不能直接给完整事件排序和更新规则。,true,,,review_seed_gold
cp_bridge_044,generic,modular_arithmetic_boundary,答案要取模，我中间乘法已经用了 long long，为什么还是可能错？,大数乘法或组合计数中需要持续取模，乘法可能超过类型上限。,,,debugging_verification_gap,boundary_bridge,,data_type,instrumental_help,需要比较乘法中间值和类型上限，并明确取模发生在每次运算后还是最后。,L3,不能直接替学生改完整取模表达式。,false,debugging_verification_gap,boundary_bridge,,,data_type,,需要比较乘法中间值和类型上限，并明确取模发生在每次运算后还是最后。,instrumental_help,L3,,不能直接替学生改完整取模表达式。,false,,,review_seed_gold
cp_bridge_045,generic,kmp_prefix_mapping,KMP 的 next 数组我背不下来，关键是我不知道它记录的前后缀关系到底是什么。,字符串匹配中需要利用已匹配前缀避免回退主串。,,,problem_representation_unclear,representation_bridge,,unknown,instrumental_help,next 或 pi 数组记录当前前缀中最长相等真前后缀长度，用来决定失配后模式串回退到哪里。,L2,不能直接给完整 KMP 构造和匹配代码。,true,problem_representation_unclear,representation_bridge,,,unknown,,next 或 pi 数组记录当前前缀中最长相等真前后缀长度，用来决定失配后模式串回退到哪里。,instrumental_help,L2,,不能直接给完整 KMP 构造和匹配代码。,true,,,review_seed_gold
cp_bridge_046,generic,combinatorics_transition,"组合计数里我知道要递推，但 C(n,k) 为什么可以从上面两个格子加起来？",组合数递推或杨辉三角。,,,strategy_application_gap,transition_bridge,,transition_design,instrumental_help,按是否选择某个特定元素，把方案分成选它和不选它两类。,L2,不能直接给完整递推式和代码。,false,strategy_application_gap,transition_bridge,,,transition_design,,按是否选择某个特定元素，把方案分成选它和不选它两类。,instrumental_help,L2,,不能直接给完整递推式和代码。,false,,,review_seed_gold
cp_bridge_047,P3372,segment_tree_merge,我 update 完左右儿子以后，父节点的 sum 应该怎么维护？我代码里只改了孩子。,线段树区间修改后需要维护父节点聚合值。,,,implementation_execution_gap,aggregation_bridge,,lazy_semantics,instrumental_help,父节点保存的是左右孩子区间信息的合并结果，孩子变化后父亲也要重新汇总。,L3,不能直接给完整 pushup/pushdown/update 实现。,false,implementation_execution_gap,aggregation_bridge,,,lazy_semantics,,父节点保存的是左右孩子区间信息的合并结果，孩子变化后父亲也要重新汇总。,instrumental_help,L3,,不能直接给完整 pushup/pushdown/update 实现。,false,,,review_seed_gold
cp_bridge_048,generic,priority_queue_stale_debug,Dijkstra 用优先队列时我会把一个点塞进去很多次，后来弹出来旧距离要不要管我不确定。,堆优化最短路中可能存在过期队列项。,,,implementation_execution_gap,boundary_bridge,,unknown,instrumental_help,弹出的距离可能不是当前 dist 数组里的最优值，需要判断是否为过期状态。,L3,不能直接给完整堆优化 Dijkstra 代码。,true,implementation_execution_gap,boundary_bridge,,,unknown,,弹出的距离可能不是当前 dist 数组里的最优值，需要判断是否为过期状态。,instrumental_help,L3,,不能直接给完整堆优化 Dijkstra 代码。,true,,,review_seed_gold
cp_bridge_049,generic,direct_code_request,我赶时间，你直接给我这题的完整代码吧，我回头自己看。,学生没有给出当前尝试，只请求完整答案。,,,strategy_generation_blocked,unknown_bridge,,unknown,executive_help,学生没有暴露具体卡点，系统需要先索取题面、尝试或最小卡点。,L1,不能给完整题解、完整代码或关键算法流程。,true,strategy_generation_blocked,unknown_bridge,,,unknown,,学生没有暴露具体卡点，系统需要先索取题面、尝试或最小卡点。,executive_help,L1,,不能给完整题解、完整代码或关键算法流程。,true,,,review_seed_gold
