case_id,anonymized_response_id,problem_ref,student_message,problem_context,recent_dialogue,response_text,coach_bridge_identification_score,coach_groundedness_score,coach_scaffold_appropriateness_score,coach_bridge_leakage_control_score,coach_next_step_clarity_score,coach_single_focus_coherence_score,coach_bridge_oriented_micro_example_score,coach_micro_example_applicability,coach_leakage_label,coach_preference_rank,coach_overall_quality_score,coach_would_show_to_student,coach_reviewer_confidence,coach_needs_discussion,coach_notes,review_status
repair_stress_009,resp_1e7c312615,cp_bridge_008,二分找第一个满足条件的位置时，l 和 r 到底怎么收缩我老写反。,二分查找 first true / lower_bound 风格边界更新。,N/A,"如果 check(mid) 为 true，说明答案可能是 mid 或更左边，所以 r = mid；如果 false，说明 mid 和左边都不行，所以 l = mid + 1。循环用 while (l < r)。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_002,resp_d1843d1240,cp_bridge_010,二维 dp 我会写了，但老师说可以压成一维，我不知道压掉哪一维才不会覆盖错。,01 背包二维 DP 压一维，关键是理解覆盖顺序和依赖方向。,N/A,"压成一维后写成 for j = V downto w[i]: dp[j] = max(dp[j], dp[j-w[i]] + v[i])。倒序的原因是 dp[j-w[i]] 还停留在上一件物品处理完后的值，正序会用到当前物品刚更新出来的值。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_011,resp_727f1dcb21,cp_bridge_018,合并果子为什么每次都要从堆里取两个最小的？我能不能直接顺序合并？,哈夫曼/合并果子，学生缺少堆操作和贪心选择之间的连接。,N/A,"每一步都从小根堆弹出两个最小值 a,b，代价加 a+b，再把 a+b 放回堆。这样能保证小的重量尽量少被重复累加，是哈夫曼贪心的核心。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_005,resp_7eac32ae9c,cp_bridge_005,线段树区间加我会写一点，但 lazy 到底表示还没做什么，我说不清。,区间加、区间求和的线段树懒标记。学生会一些代码，但不理解 lazy 的语义。,N/A,"lazy[x] 表示当前节点代表的整段已经整体加过了，sum[x] 也已经更新了，但这个加法还没有下传到两个子节点。等以后访问子节点时，再把 lazy[x] 下推给孩子，并清空 lazy[x]。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_004,resp_f1ae992a53,cp_bridge_001,我知道要 LCA，但不知道每条路径到底在哪里加减标记。,树上路径差分，统计每条边被多少条路径经过。,N/A,"比如路径 4 到 7 的 LCA 是 2，就在 4 和 7 各加 1，在 2 减 2。之后 DFS 往上累加，某个子树的和就是连接这棵子树到父亲那条边被路径经过的次数。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_008,resp_885c311966,cp_bridge_011,差分约束到底是最长路还是最短路？我一看到不等式就乱。,差分约束建图与最短/最长路选择。,N/A,我们来看不等式 x_v ≤ x_u + w，如果把它看成 x_v - x_u ≤ w，你觉得这个式子和从 u 到 v 的边有什么联系？另外，观察一下你的题目中的不等式是 ≤ 还是 ≥ 形式，这会影响建图方向和算法选择。试着从一个简单例子出发，比如有两个不等式，写下对应的边，看看跑最短路还是最长路能得到可行解。[LEVEL:L1],,,,,,,,,,,,,,,,unlabeled
repair_stress_004,resp_f07ebacf5a,cp_bridge_001,我知道要 LCA，但不知道每条路径到底在哪里加减标记。,树上路径差分，统计每条边被多少条路径经过。,N/A,考虑路径 4 到 7，它的 LCA 是节点 2。你想在这个路径的端点（4 和 7）和 LCA（2）上做标记，你会怎么标记？为什么这样标记？[LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
repair_stress_003,resp_b8536b6517,cp_bridge_001,我知道要 LCA，但不知道每条路径到底在哪里加减标记。,树上多条路径贡献统计，学生知道 LCA，但缺少端点/LCA 差分标记和 DFS 汇总这一步。,N/A,"对一条路径 u-v，设 w=lca(u,v)，差分标记就是 cnt[u]++、cnt[v]++、cnt[w]--、cnt[parent[w]]--，最后 DFS 汇总子树贡献。这样每条边被经过的次数就能从子树和里得到。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_012,resp_37b833ba77,cp_bridge_014,我的双重循环看起来挺简单，为什么会 TLE？n 是 2e5。,复杂度估算与瓶颈定位，学生缺少 n^2 与数据范围之间的桥。,N/A,你可以估算一下，当 n=2e5 时，当前的双重循环大约会执行多少次操作？这个数量级在通常的时间限制下能通过吗？如果不行，你觉得循环的哪一部分最耗时？试着考虑能否减少其中一层循环的重复计算。[LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
repair_stress_008,resp_5b931c3b67,cp_bridge_011,差分约束到底是最长路还是最短路？我一看到不等式就乱。,差分约束建图与最短/最长路选择。,N/A,"如果是不等式 x_v <= x_u + w，就建 u -> v 权 w，跑最短路；如果是 x_v >= x_u + w，就建 u -> v 权 w，跑最长路。你这题属于前一种，所以用最短路。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_002,resp_0cb61746c1,cp_bridge_010,二维 dp 我会写了，但老师说可以压成一维，我不知道压掉哪一维才不会覆盖错。,01 背包二维 DP 压一维，关键是理解覆盖顺序和依赖方向。,N/A,压成一维后，容量循环应该从小到大还是从大到小？为什么？这样能保证每个物品只选一次吗？[LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
